pop,pop_dens,error,price,predicted_price
773,1840.4761904762,44610.61951879623,55648,100258.61951879623
2118,613.9130434783,359821.7629847681,440736,80914.23701523192
1401,270.9864603482,44076.94934160817,118500,74423.05065839183
5776,403.9160839161,93766.22653643624,168061,74294.77346356376
9756,2311.8483412322,34819.349111898,66578,101397.349111898
48,48.0,28497.163000690503,41974,70471.1630006905
5486,1001.094890511,122708.83286944793,208656,85947.16713055207
477,120.1511335013,31236.67857319412,103018,71781.32142680588
1238,117.0132325142,61911.47032944145,133084,71172.52967055855
1434,248.5268630849,84882.0991309773,158801,73918.9008690227
1374,291.1016949153,33781.12960415195,108651,74869.87039584805
8376,1899.3197278912,35454.13026275653,62113,97567.13026275653
5592,1934.9480968858,98197.87255949942,197391,99193.12744050058
14335,1200.5862646566,55363.03752165094,139797,84433.96247834906
10467,1308.375,27194.177215085423,61116,88310.17721508542
3318,1215.3846153846,25497.01342822425,65175,90672.01342822425
2807,54.08477842,56982.57100945941,125610,68627.42899054059
6927,1273.3455882353,25812.052299513496,63824,89636.0522995135
1981,250.4424778761,35204.40217050353,108788,73583.59782949647
1526,978.2051282051,42990.10586401794,130830,87839.89413598206
3398,1544.5454545455,36621.02453079239,58776,95397.02453079239
2717,11.1640711674,29876.372753258576,37824,67700.37275325858
3223,873.4417344173,26144.25349567237,58892,85036.25349567237
2047,993.6893203883,26120.528837467704,113920,87799.4711625323
27746,2970.6638115632,35659.558547183085,65532,101191.55854718309
791,170.1075268817,110181.68407431421,182844,72662.31592568579
160,31.6205533597,56860.67301583242,126880,70019.32698416758
9504,2017.8343949045,31654.453392000476,66800,98454.45339200048
483,146.8085106383,57214.44015414352,129581,72366.55984585648
1594,880.6629834254,89942.22044903412,176072,86129.77955096588
13079,2286.5384615385,25060.236891851717,74831,99891.23689185172
492,13.9100932994,30529.503585304352,38846,69375.50358530435
3476,843.6893203883,34042.81776944923,118397,84354.18223055077
10990,739.5693135935,26067.013802860834,103894,77826.98619713917
30156,2227.1787296898,25000.219938553782,62081,87081.21993855378
6153,8314.8648648649,33418.78419559244,80351,46932.21580440756
2457,459.2523364486,73503.47205432631,151563,78059.52794567369
639,387.2727272727,102260.35903123963,180063,77802.64096876037
319,6.8720379147,31876.623493724648,100747,68870.37650627535
4304,1515.4929577465,34473.02204515315,61990,96463.02204515315
1482,712.5,25694.662623533135,109933,84238.33737646686
8299,1356.045751634,98516.67163576547,189405,90888.32836423453
7809,1679.3548387097,29865.676734512526,66251,96116.67673451253
62615,824.6411168181,32036.512135532983,88005,55968.48786446702
685,326.1904761905,151529.45673846285,227889,76359.54326153717
234,76.9736842105,34009.52341523096,104705,70695.47658476904
1997,410.9053497942,63583.31389440823,140901,77317.68610559177
282,146.1139896373,38388.69443780373,110755,72366.30556219627
415,1296.875,26642.557692277187,69430,96072.55769227719
991,394.8207171315,51801.52833927292,129510,77708.47166072708
740,224.2424242424,42644.27182196859,116558,73913.72817803141
15793,3541.0313901345,43789.842817989,147835,104045.157182011
203951,12810.992462312,348765.0283484666,86711,-262054.0283484666
4273,225.8456659619,29952.562833198666,101320,71367.43716680133
450,15.6304272317,31362.576996652235,37633,68995.57699665223
6519,1021.7868338558,25261.935003221937,61201,86462.93500322194
860,318.5185185185,81850.81364446426,157900,76049.18635553574
1502,62.53122398,29087.92776366818,98489,69401.07223633182
6520,1160.1423487545,27557.102326551714,61382,88939.10232655171
30618,1415.5339805825,83124.29288585688,160456,77331.70711414312
3711,274.0768094535,94927.21850938186,167835,72907.78149061814
1319,19.5929887106,30410.09082353169,38048,68458.09082353169
1386,66.7308618199,33754.4325348884,103345,69590.5674651116
18791,2851.4415781487,33630.55861911026,65678,99308.55861911026
21014,3759.2128801431,28017.923061466732,71979,99996.92306146673
2369,484.4580777096,42722.20320189708,121407,78684.79679810292
420217,4778.9946548391,398890.61083804455,85446,484336.61083804455
32,33.6842105263,61104.22785989693,130865,69760.77214010307
966,455.6603773585,70919.28089888196,150021,79101.71910111804
1473,154.8895899054,43588.12480474566,115285,71696.87519525434
2067,313.1818181818,27306.02199402709,102330,75023.97800597291
398,222.3463687151,183552.49498901208,257677,74124.50501098792
725,122.8813559322,52053.00431796633,123520,71466.99568203367
315,58.1180811808,29527.537635915083,40637,70164.53763591508
577,82.3109843081,39644.15128737778,110218,70573.84871262222
1588,806.0913705584,29529.205867549434,55060,84589.20586754943
106,1.4097619364,89555.93100756739,158898,69342.06899243261
4085,672.981878089,54960.11905403872,135509,80548.88094596128
22621,8378.1481481482,39826.91699769528,83698,43871.08300230472
577,198.2817869416,48535.314345549414,121884,73348.68565445059
6460,718.5761957731,113532.97005590475,193412,79879.02994409525
1188,303.8363171356,71554.59284691898,146706,75151.40715308102
1233,86.4656381487,30831.184910620446,39585,70416.18491062045
11887,1828.7692307692,54651.74468398304,149109,94457.25531601696
10432,4139.6825396825,41585.59815849236,64965,106550.59815849236
2577,583.0316742081,185270.40378941275,265088,79817.59621058725
1805,138.3141762452,32461.68709311614,38685,71146.68709311614
2286,530.3944315545,94531.96880710885,173519,78987.03119289115
4668,1065.7534246575,74268.7436597775,161425,87156.2563402225
594,306.1855670103,38085.54124905258,113706,75620.45875094742
4966,1338.5444743935,30853.52392012658,60402,91255.52392012658
2520,734.693877551,60721.76427807473,143432,82710.23572192527
2116,304.4604316547,41876.87377016089,116385,74508.12622983911
382,429.2134831461,57801.827052082706,136080,78278.1729479173
1169,398.976109215,35608.111186398644,112734,77125.88881360136
541,110.183299389,97880.49520839402,169335,71454.50479160598
1024,258.5858585859,57328.934209811385,131644,74315.06579018862
1669,318.5114503817,37597.36145937709,112716,75118.63854062291
891,80.7065217391,25819.113136188127,44722,70541.11313618813
725,104.3165467626,46579.983736082126,117769,71189.01626391787
55602,2623.9735724398,26136.667538341862,61000,87136.66753834186
7851,4758.1818181818,44043.513007888716,59719,103762.51300788872
955,324.8299319728,41664.70334067769,117418,75753.29665932231
